FID	Number_of	Bee_Family	Bee_Genus	Subgenus	Species	Subspecies	Location_D	Date	Floral_Hos
9950	1	Apidae	Diadasia	 	diminuta	 	Long Cyn, 0.8 mi NNW mouth	25-May-01	Sphaeralcea grossulariifolia
9951	2	Apidae	Diadasia	 	diminuta	 	Middle Bench, 2.86 mi NNW	22-Aug-03	No Floral Record
9952	2	Apidae	Diadasia	 	diminuta	 	Nephi Pasture, 2.51 mi W	5-Sep-03	Sphaeralcea sp.
9953	1	Apidae	Diadasia	 	diminuta	 	Nipple Spr., 1.0 mi E	29-May-03	No Floral Record
9954	2	Apidae	Diadasia	 	diminuta	 	Paradise Canyon	18-Aug-03	No Floral Record
9955	1	Apidae	Diadasia	 	diminuta	 	Pioneer Mesa, 2.3 mi E	16-Jun-03	No Floral Record
9956	2	Apidae	Diadasia	 	diminuta	 	Pleasant Grove Springs, 0.3 mi SE	14-Jun-01	Calochortus aureus
9957	1	Apidae	Diadasia	 	diminuta	 	Pleasant Grove Springs, 0.5 mi E	14-Jun-01	Calochortus aureus
9958	2	Apidae	Diadasia	 	diminuta	 	Pool Hollow, nr.	29-Jun-01	Calochortus aureus
9959	1	Apidae	Diadasia	 	diminuta	 	Pool Hollow, nr.	16-Jul-02	Penstemon comarrhenus
9960	4	Apidae	Diadasia	 	diminuta	 	Pool Hollow, nr.	16-Jul-02	Sphaeralcea grossulariifolia
9961	3	Apidae	Diadasia	 	diminuta	 	Pool Hollow, nr.	19-Jul-01	Sphaeralcea grossulariifolia
9962	5	Apidae	Diadasia	 	diminuta	 	Pool Hollow, nr.	2-Aug-02	Sphaeralcea grossulariifolia
